Time [s],Channel 2
10.621522792,1
10.621620917,0
10.621722833,1
10.621820958,0
10.621922917,1
10.622021000,0
10.622122917,1
10.622221042,0
10.622322958,1
10.622421083,0
10.622523000,1
10.622621083,0
10.622723000,1
10.622821167,0
10.622923083,1
10.623021167,0
10.623123083,1
10.623221208,0
10.623323083,1
10.623421250,0
10.623523083,1
10.623621292,0
10.623723167,1
10.623821333,0
10.623923250,1
10.624021333,0
10.624123250,1
10.624221375,0
10.624323292,1
10.624421458,0
10.624523375,1
10.624621458,0
10.624723292,1
10.624821500,0
10.624923417,1
10.625021542,0
10.625123458,1
10.625221542,0
10.625323458,1
10.625421625,0
10.625523500,1
10.625621625,0
10.625723542,1
10.625821667,0
10.625923583,1
10.626021708,0
10.626123667,1
10.626221750,0
10.626323625,1
10.626421792,0
10.626523667,1
10.626621792,0
10.626723750,1
10.626821833,0
10.626923708,1
10.627021875,0
10.627123792,1
10.627221917,0
10.627323833,1
10.627421958,0
10.627523833,1
10.627622000,0
10.627723917,1
10.627822000,0
10.627923875,1
10.628022042,0
10.628123958,1
10.628222083,0
10.628324042,1
10.628422167,0
10.628524042,1
10.628622167,0
10.628724083,1
10.628822208,0
10.628924083,1
10.629022208,0
10.629125333,1
10.629222875,0
10.629324875,1
10.629423042,0
10.629524667,1
10.629623000,0
10.629724875,1
10.629823042,0
10.629926083,1
10.630033417,0
10.630134583,1
10.630232792,0
10.630335333,1
10.630432708,0
10.630534875,1
10.630632792,0
10.630735417,1
10.630834208,0
10.630930167,1
10.631028417,0
10.631130292,1
10.631230042,0
10.631325583,1
10.631423792,0
10.631525542,1
10.631623833,0
10.631725667,1
10.631823833,0
10.631925750,1
10.632023875,0
10.632125792,1
10.632223917,0
10.632325750,1
10.632423958,0
10.632525833,1
10.632624000,0
10.632725833,1
10.632824000,0
10.632925917,1
10.633024042,0
10.633125958,1
10.633224083,0
10.633326000,1
10.633424125,0
10.633526000,1
10.633624125,0
10.633726042,1
10.633824167,0
10.633935833,1
10.634023333,0
10.634124917,1
10.634223042,0
10.634326833,1
10.634423250,0
10.634525208,1
10.634623333,0
10.634744375,1
10.634856625,0
10.634958542,1
10.635056667,0
10.635157458,1
10.635261958,0
10.635360250,1
10.635457375,0
10.635565958,1
10.635658833,0
10.635766750,1
10.635860417,0
10.635962167,1
10.636060375,0
10.636160833,1
